timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,Latency
2016/09/07 21:24:39,144,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-1,text,true,141
2016/09/07 21:24:40,5,BeanShell Sampler,200,OK,ThreadGroup 1-1,text,true,0
2016/09/07 21:24:41,49,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-2,text,true,48
2016/09/07 21:24:41,5,BeanShell Sampler,200,OK,ThreadGroup 1-2,text,true,0
2016/09/07 21:24:43,40,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-3,text,true,40
2016/09/07 21:24:44,5,BeanShell Sampler,200,OK,ThreadGroup 1-3,text,true,0
2016/09/07 21:24:46,42,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-4,text,true,42
2016/09/07 21:24:46,4,BeanShell Sampler,200,OK,ThreadGroup 1-4,text,true,0
2016/09/07 21:24:49,40,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-5,text,true,40
2016/09/07 21:24:49,4,BeanShell Sampler,200,OK,ThreadGroup 1-5,text,true,0
2016/09/07 21:24:51,41,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-6,text,true,40
2016/09/07 21:24:52,3,BeanShell Sampler,200,OK,ThreadGroup 1-6,text,true,0
2016/09/07 21:24:54,38,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-7,text,true,38
2016/09/07 21:24:54,3,BeanShell Sampler,200,OK,ThreadGroup 1-7,text,true,0
2016/09/07 21:24:56,41,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-8,text,true,41
2016/09/07 21:24:57,2,BeanShell Sampler,200,OK,ThreadGroup 1-8,text,true,0
2016/09/07 21:24:59,47,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-9,text,true,46
2016/09/07 21:24:59,2,BeanShell Sampler,200,OK,ThreadGroup 1-9,text,true,0
2016/09/07 21:25:02,42,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-10,text,true,41
2016/09/07 21:25:02,3,BeanShell Sampler,200,OK,ThreadGroup 1-10,text,true,0
2016/09/07 21:25:04,43,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-11,text,true,42
2016/09/07 21:25:04,2,BeanShell Sampler,200,OK,ThreadGroup 1-11,text,true,0
2016/09/07 21:25:07,44,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-12,text,true,43
2016/09/07 21:25:07,3,BeanShell Sampler,200,OK,ThreadGroup 1-12,text,true,0
2016/09/07 21:25:09,44,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-13,text,true,43
2016/09/07 21:25:10,3,BeanShell Sampler,200,OK,ThreadGroup 1-13,text,true,0
2016/09/07 21:25:12,41,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-14,text,true,41
2016/09/07 21:25:12,2,BeanShell Sampler,200,OK,ThreadGroup 1-14,text,true,0
2016/09/07 21:25:15,49,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-15,text,true,47
2016/09/07 21:25:15,2,BeanShell Sampler,200,OK,ThreadGroup 1-15,text,true,0
2016/09/07 21:25:17,41,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-16,text,true,41
2016/09/07 21:25:17,2,BeanShell Sampler,200,OK,ThreadGroup 1-16,text,true,0
2016/09/07 21:25:20,48,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-17,text,true,47
2016/09/07 21:25:20,2,BeanShell Sampler,200,OK,ThreadGroup 1-17,text,true,0
2016/09/07 21:25:22,48,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-18,text,true,48
2016/09/07 21:25:23,2,BeanShell Sampler,200,OK,ThreadGroup 1-18,text,true,0
2016/09/07 21:25:25,41,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-19,text,true,40
2016/09/07 21:25:25,2,BeanShell Sampler,200,OK,ThreadGroup 1-19,text,true,0
2016/09/07 21:25:28,40,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-20,text,true,40
2016/09/07 21:25:28,2,BeanShell Sampler,200,OK,ThreadGroup 1-20,text,true,0
2016/09/07 21:25:30,43,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-21,text,true,42
2016/09/07 21:25:30,1,BeanShell Sampler,200,OK,ThreadGroup 1-21,text,true,0
2016/09/07 21:25:33,43,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-22,text,true,42
2016/09/07 21:25:33,2,BeanShell Sampler,200,OK,ThreadGroup 1-22,text,true,0
2016/09/07 21:25:35,41,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-23,text,true,40
2016/09/07 21:25:36,2,BeanShell Sampler,200,OK,ThreadGroup 1-23,text,true,0
2016/09/07 21:25:38,44,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-24,text,true,44
2016/09/07 21:25:38,2,BeanShell Sampler,200,OK,ThreadGroup 1-24,text,true,0
2016/09/07 21:25:40,41,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-25,text,true,41
2016/09/07 21:25:41,2,BeanShell Sampler,200,OK,ThreadGroup 1-25,text,true,0
2016/09/07 21:25:43,44,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-26,text,true,44
2016/09/07 21:25:43,1,BeanShell Sampler,200,OK,ThreadGroup 1-26,text,true,0
2016/09/07 21:25:46,42,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-27,text,true,41
2016/09/07 21:25:46,2,BeanShell Sampler,200,OK,ThreadGroup 1-27,text,true,0
2016/09/07 21:25:48,43,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-28,text,true,43
2016/09/07 21:25:48,2,BeanShell Sampler,200,OK,ThreadGroup 1-28,text,true,0
2016/09/07 21:25:51,43,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-29,text,true,43
2016/09/07 21:25:51,1,BeanShell Sampler,200,OK,ThreadGroup 1-29,text,true,0
