timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,Latency
2016/09/09 02:19:07,133,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-1,text,true,130
2016/09/09 02:19:08,9,BeanShell Sampler,200,OK,ThreadGroup 1-1,text,true,0
2016/09/09 02:19:08,41,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-2,text,true,41
2016/09/09 02:19:08,4,BeanShell Sampler,200,OK,ThreadGroup 1-2,text,true,0
2016/09/09 02:19:09,40,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-3,text,true,40
2016/09/09 02:19:09,5,BeanShell Sampler,200,OK,ThreadGroup 1-3,text,true,0
2016/09/09 02:19:10,42,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-4,text,true,42
2016/09/09 02:19:11,4,BeanShell Sampler,200,OK,ThreadGroup 1-4,text,true,0
2016/09/09 02:19:12,46,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-5,text,true,46
2016/09/09 02:19:12,4,BeanShell Sampler,200,OK,ThreadGroup 1-5,text,true,0
2016/09/09 02:19:13,41,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-6,text,true,41
2016/09/09 02:19:13,4,BeanShell Sampler,200,OK,ThreadGroup 1-6,text,true,0
2016/09/09 02:19:14,43,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-7,text,true,42
2016/09/09 02:19:15,3,BeanShell Sampler,200,OK,ThreadGroup 1-7,text,true,0
2016/09/09 02:19:16,40,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-8,text,true,40
2016/09/09 02:19:16,4,BeanShell Sampler,200,OK,ThreadGroup 1-8,text,true,0
2016/09/09 02:19:17,38,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-9,text,true,38
2016/09/09 02:19:17,3,BeanShell Sampler,200,OK,ThreadGroup 1-9,text,true,0
2016/09/09 02:19:18,46,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-10,text,true,46
2016/09/09 02:19:19,3,BeanShell Sampler,200,OK,ThreadGroup 1-10,text,true,0
2016/09/09 02:19:20,41,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-11,text,true,41
2016/09/09 02:19:20,3,BeanShell Sampler,200,OK,ThreadGroup 1-11,text,true,0
2016/09/09 02:19:21,43,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-12,text,true,43
2016/09/09 02:19:21,3,BeanShell Sampler,200,OK,ThreadGroup 1-12,text,true,0
2016/09/09 02:19:22,44,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-13,text,true,43
2016/09/09 02:19:23,2,BeanShell Sampler,200,OK,ThreadGroup 1-13,text,true,0
2016/09/09 02:19:24,42,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-14,text,true,42
2016/09/09 02:19:24,2,BeanShell Sampler,200,OK,ThreadGroup 1-14,text,true,0
2016/09/09 02:19:25,39,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-15,text,true,39
2016/09/09 02:19:25,2,BeanShell Sampler,200,OK,ThreadGroup 1-15,text,true,0
2016/09/09 02:19:26,42,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-16,text,true,42
2016/09/09 02:19:27,3,BeanShell Sampler,200,OK,ThreadGroup 1-16,text,true,0
2016/09/09 02:19:28,40,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-17,text,true,40
2016/09/09 02:19:28,2,BeanShell Sampler,200,OK,ThreadGroup 1-17,text,true,0
2016/09/09 02:19:29,41,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-18,text,true,41
2016/09/09 02:19:29,2,BeanShell Sampler,200,OK,ThreadGroup 1-18,text,true,0
2016/09/09 02:19:30,39,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-19,text,true,39
2016/09/09 02:19:31,2,BeanShell Sampler,200,OK,ThreadGroup 1-19,text,true,0
2016/09/09 02:19:32,43,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-20,text,true,43
2016/09/09 02:19:32,2,BeanShell Sampler,200,OK,ThreadGroup 1-20,text,true,0
2016/09/09 02:19:33,45,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-21,text,true,44
2016/09/09 02:19:33,2,BeanShell Sampler,200,OK,ThreadGroup 1-21,text,true,0
2016/09/09 02:19:35,41,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-22,text,true,41
2016/09/09 02:19:35,1,BeanShell Sampler,200,OK,ThreadGroup 1-22,text,true,0
2016/09/09 02:19:36,40,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-23,text,true,39
2016/09/09 02:19:36,1,BeanShell Sampler,200,OK,ThreadGroup 1-23,text,true,0
2016/09/09 02:19:37,45,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-24,text,true,45
2016/09/09 02:19:37,1,BeanShell Sampler,200,OK,ThreadGroup 1-24,text,true,0
2016/09/09 02:19:39,41,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-25,text,true,40
2016/09/09 02:19:39,2,BeanShell Sampler,200,OK,ThreadGroup 1-25,text,true,0
2016/09/09 02:19:40,42,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-26,text,true,41
2016/09/09 02:19:40,2,BeanShell Sampler,200,OK,ThreadGroup 1-26,text,true,0
2016/09/09 02:19:41,39,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-27,text,true,39
2016/09/09 02:19:41,1,BeanShell Sampler,200,OK,ThreadGroup 1-27,text,true,0
2016/09/09 02:19:43,41,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-28,text,true,41
2016/09/09 02:19:43,2,BeanShell Sampler,200,OK,ThreadGroup 1-28,text,true,0
2016/09/09 02:19:44,40,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-29,text,true,40
2016/09/09 02:19:44,1,BeanShell Sampler,200,OK,ThreadGroup 1-29,text,true,0
2016/09/09 02:19:45,42,HTTP Request - retrievePassengerData,200,OK,ThreadGroup 1-30,text,true,42
2016/09/09 02:19:45,2,BeanShell Sampler,200,OK,ThreadGroup 1-30,text,true,0
