timestamp en.m.wikipedia.org en.wikipedia.org en.wikipedia.org.total en.wikipedia.org.daily_visits en.wikipedia.org.newUsers en.wikipedia.org.donations
1451606400 36871 16713 53585 234271982 6344 428334.52
1451692800 38210 19084 57295 258962263 7924 45509.27
1451779200 39646 20599 60246 265276913 8077 35473.58
1451865600 34474 26221 60695 269330004 9016 37748.91
1451952000 33527 27089 60617 263841110 8933 26878.47
1452038400 33215 26824 60040 262656618 9268 20872.76
1452124800 33321 27274 60595 260283606 9157 18392.47
1452211200 33730 26267 59998 252844185 8783 18399.35
1452297600 36511 21265 57776 245587830 7878 12855.24
1452384000 39508 25138 64647 267691389 8996 16549.8
1452470400 37823 33948 71772 296901690 10073 15260.51
1452556800 34869 29518 64388 272247505 10173 13668.95
1452643200 33464 28435 61900 264684802 8751 29364.99
1452729600 34131 28328 62459 265062630 8683 12046.83
1452816000 33708 26040 59748 252608966 9095 16561.98
1452902400 36783 19895 56678 244441245 8639 16472.84
1452988800 39987 20956 60943 265446747 8320 14295.2
1453075200 36211 27578 63789 276171426 9159 11501.46
1453161600 34433 29441 63874 275603217 9575 13511.18
1453248000 33421 28762 62183 265544825 9084 13360.42
1453334400 33088 28622 61710 263782691 8827 13543.09
1453420800 33660 28123 61784 258477861 7124 23487.09
1453507200 36537 20876 57413 248002891 7468 10364.06
1453593600 39919 21668 61588 271086304 8156 9826.28
1453680000 36645 29094 65739 281303675 9339 18358.47
1453766400 35023 29209 64232 271010141 9406 12478.75
1453852800 33886 29655 63541 268653701 9287 10160.65
1453939200 33443 29283 62726 262267936 8465 8756.79
1454025600 33262 27077 60339 253457572 7069 8432.04
1454112000 35806 20448 56255 244539875 7752 11034.86
1454198400 39328 22005 61333 271974703 8038 8971.25
