timestamp sum_req daily_proportion_reqs hourly_concurrent_users
1452049200.0 9465.0 0.0275767428851 690
1452052800.0 10083.0 0.0293773162716 735
1452056400.0 11701.0 0.0340914388271 853
1452060000.0 12667.0 0.0369059273244 923
1452063600.0 13402.0 0.0390473859637 977
1452067200.0 13078.0 0.0381033960329 953
1452070800.0 12294.0 0.0358191734844 896
1452074400.0 13484.0 0.0392862969955 983
1452078000.0 13772.0 0.0401253991562 1004
1452081600.0 13133.0 0.0382636412372 957
1452085200.0 15260.0 0.0444607603198 1112
1452088800.0 16650.0 0.0485105936648 1214
1452092400.0 19082.0 0.0555963452439 1391
1452096000.0 18481.0 0.0538453021933 1347
1452099600.0 19317.0 0.0562810292987 1408
1452103200.0 18528.0 0.0539822390043 1350
1452106800.0 18564.0 0.0540871267744 1353
1452110400.0 17817.0 0.0519107055451 1299
1452114000.0 17113.0 0.0498595669301 1247
1452117600.0 15789.0 0.0460020278302 1151
1452121200.0 13897.0 0.0404895928024 1013
1452124800.0 11267.0 0.0344940545439 871
1452128400.0 11057.0 0.0338511370455 855
1452132000.0 10279.0 0.0314692807896 795
1452135600.0 10557.0 0.032320381097 816
1452139200.0 10323.0 0.0316039873131 798
1452142800.0 10613.0 0.0324918257632 820
1452146400.0 11907.0 0.036453422158 920
1452150000.0 11457.0 0.0350757418043 886
1452153600.0 12250.0 0.0375035207387 947
1452157200.0 11541.0 0.0353329088037 892
1452160800.0 12277.0 0.0375861815599 949
1452164400.0 12316.0 0.0377055805239 952
1452168000.0 3946.0 0.0120807259457 305
1452171600.0 13095.0 0.0400904982917 1012
1452175200.0 14544.0 0.0445266290305 1124
1452178800.0 17997.0 0.0550980296109 1391
1452182400.0 18935.0 0.0579697277704 1464
1452186000.0 18895.0 0.0578472672945 1461
1452189600.0 17607.0 0.0539040399711 1361
1452193200.0 18756.0 0.0574217171408 1450
1452196800.0 18813.0 0.0575962233189 1454
1452200400.0 18109.0 0.0554409189434 1400
1452204000.0 16198.0 0.0495903697082 1252
1452207600.0 13818.0 0.0423039713932 1068
1452211200.0 11498.0 0.0356857986164 892
1452214800.0 10670.0 0.03311597419 828
1452218400.0 10575.0 0.0328211271846 820
1452222000.0 10565.0 0.0327900906577 820
1452225600.0 10322.0 0.0320359030543 801
1452229200.0 9871.0 0.0306361556916 766
1452232800.0 10706.0 0.0332277056868 831
1452236400.0 10392.0 0.0322531587425 806
1452240000.0 10756.0 0.0333828883213 835
1452243600.0 10603.0 0.0329080294599 823
1452247200.0 12233.0 0.0379669833427 949
1452250800.0 11806.0 0.0366417236446 916
1452254400.0 12260.0 0.0380507819653 951
1452258000.0 12411.0 0.0385194335213 963
1452261600.0 16746.0 0.0519737679275 1299
1452265200.0 16799.0 0.05213826152 1303
1452268800.0 18114.0 0.0562195648058 1405
1452272400.0 18604.0 0.0577403546234 1443
1452276000.0 18101.0 0.0561792173209 1404
1452279600.0 16857.0 0.0523182733759 1308
1452283200.0 16850.0 0.0522965478071 1307
1452286800.0 16082.0 0.0499129425421 1248
1452290400.0 15562.0 0.0482990431439 1207
1452294000.0 13911.0 0.0431749125546 1079
1452297600.0 12153.0 0.0422820403094 1018
1452301200.0 9947.0 0.0346070480505 833
1452304800.0 8874.0 0.0308739262491 743
1452308400.0 9489.0 0.033013599975 795
1452312000.0 8971.0 0.0312114032433 751
1452315600.0 10579.0 0.0368058672289 886
1452319200.0 11801.0 0.0410573815264 988
1452322800.0 12762.0 0.0444008391696 1069
1452326400.0 12625.0 0.0439241964047 1057
1452330000.0 11633.0 0.0404728852891 974
1452333600.0 12254.0 0.0426334338806 1026
1452337200.0 11372.0 0.0395648286347 952
1452340800.0 10650.0 0.037052886472 892
1452344400.0 10974.0 0.0381801292154 919
1452348000.0 11492.0 0.0399823259471 962
1452351600.0 12572.0 0.0437398017584 1053
1452355200.0 13637.0 0.0474450904056 1142
1452358800.0 13853.0 0.0481965855678 1160
1452362400.0 15592.0 0.0542468174528 1306
1452366000.0 13599.0 0.0473128829233 1139
1452369600.0 12630.0 0.043941592126 1058
1452373200.0 13076.0 0.0454932904703 1095
1452376800.0 12981.0 0.0451627717647 1087
1452380400.0 11721.0 0.0407790499849 982
1452384000.0 12451.0 0.0415368397174 1119
1452387600.0 10004.0 0.0333735880277 899
1452391200.0 9403.0 0.0313686373675 845
1452394800.0 9733.0 0.0324695254172 875
1452398400.0 9581.0 0.0319624497094 861
1452402000.0 10488.0 0.0349882238339 942
1452405600.0 12705.0 0.0423841899132 1142
1452409200.0 12390.0 0.0413333422294 1113
1452412800.0 12156.0 0.0405527125214 1092
1452416400.0 11878.0 0.0396252977402 1067
1452420000.0 11497.0 0.0383542724464 1033
1452423600.0 11670.0 0.0389314046664 1049
1452427200.0 12265.0 0.0409163391803 1102
1452430800.0 10670.0 0.0355953802734 959
1452434400.0 12253.0 0.0408763068876 1101
1452438000.0 13356.0 0.044555941793 1200
1452441600.0 15482.0 0.0516483296526 1391
1452445200.0 14845.0 0.0495232821142 1334
1452448800.0 15345.0 0.0511912943107 1379
1452452400.0 14766.0 0.0492597361872 1327
1452456000.0 14535.0 0.0484891145524 1306
1452459600.0 14402.0 0.0480454233081 1294
1452463200.0 16162.0 0.0539168262398 1452
1452466800.0 14566.0 0.0485925313086 1309
1452470400.0 13937.0 0.0288141480217 862
1452474000.0 14324.0 0.0296142538754 886
1452477600.0 14185.0 0.0293268773543 877
1452481200.0 15317.0 0.0316672386631 947
1452484800.0 16674.0 0.0344727777939 1031
1452488400.0 16843.0 0.0348221780246 1041
1452492000.0 17162.0 0.0354816968033 1061
1452495600.0 16454.0 0.0340179372568 1017
1452499200.0 20242.0 0.0418494643219 1252
1452502800.0 18239.0 0.0377083479778 1128
1452506400.0 18986.0 0.0392527383468 1174
1452510000.0 19950.0 0.0412457668818 1233
1452513600.0 18788.0 0.0388433818634 1162
1452517200.0 19850.0 0.0410390211832 1227
1452520800.0 23766.0 0.0491351827425 1469
1452524400.0 26200.0 0.0541673730478 1620
1452528000.0 27551.0 0.0569605074366 1703
1452531600.0 26766.0 0.0553375537022 1655
1452535200.0 26058.0 0.0538737941557 1611
1452538800.0 26604.0 0.0550026256704 1645
1452542400.0 25083.0 0.0518580235938 1551
1452546000.0 23642.0 0.0488788180762 1462
1452549600.0 22499.0 0.0465157147406 1391
1452553200.0 19828.0 0.0409935371295 1226
1452556800.0 16811.0 0.0400093294017 1073
1452560400.0 16062.0 0.0382267472994 1026
1452564000.0 14728.0 0.0350518947967 940
1452567600.0 13511.0 0.0321554963741 863
1452571200.0 13634.0 0.0324482301506 871
1452574800.0 14702.0 0.0349900161123 939
1452578400.0 16263.0 0.0387051171292 1038
1452582000.0 15058.0 0.0358372780995 961
1452585600.0 15034.0 0.0357801593138 960
1452589200.0 15254.0 0.0363037481823 974
1452592800.0 15922.0 0.037893554383 1017
1452596400.0 15082.0 0.0358943968851 963
1452600000.0 14979.0 0.0356492620967 956
1452603600.0 16918.0 0.0402639839877 1080
1452607200.0 18879.0 0.0449310647656 1205
1452610800.0 21742.0 0.0517448599043 1388
1452614400.0 22353.0 0.0531990089891 1427
1452618000.0 20846.0 0.0496124252398 1331
1452621600.0 21421.0 0.0509808961461 1368
1452625200.0 21576.0 0.0513497883035 1378
1452628800.0 20456.0 0.048684244973 1306
1452632400.0 20529.0 0.0488579812793 1311
1452636000.0 18589.0 0.0442408794389 1187
1452639600.0 13555.0 0.0322602141478 865
1452643200.0 14078.0 0.038061507266 982
1452646800.0 12743.0 0.0344521797905 889
1452650400.0 12075.0 0.0326461642447 842
1452654000.0 12962.0 0.0350442717134 904
1452657600.0 13152.0 0.0355579587699 917
1452661200.0 13360.0 0.0361203109158 932
1452664800.0 13952.0 0.0377208516391 973
1452668400.0 13158.0 0.0355741804664 917
1452672000.0 13793.0 0.0372909766813 962
1452675600.0 12643.0 0.0341818181818 882
1452679200.0 13232.0 0.0357742480568 923
1452682800.0 12681.0 0.0342845555931 884
